MSA,PSA,label
485.01,46.53,1
371.3,29.46,1
250.76,20.23,1
310.79,25.78,1
492.38,94.3,1
417.9,55.94,1
592.12,108.59,1
544.33,177.6,1
361.2,26.3,1
431.16,86.17,1
431.24,27.69,1
785.27,112.34,1
529.61,74.51,1
902.15,169.58,1
376.41,60.09,1
390.54,30.66,1
438.43,107.18,1
606.83,69.92,1
886.39,114.99,1
379.6,72.65,1
374.69,12.0,1
617.7,140.85,1
372.39,62.75,1
474.76,81.55,1
524.92,85.74,1
247.8,78.87,1
302.72,68.55,1
203.49,42.52,1
440.91,82.41,1
406.53,71.9,1
264.66,12.89,1
1076.29,188.71,1
537.32,22.82,1
1110.24,192.55,1
494.84,97.72,1
329.78,60.69,1
685.48,54.05,1
378.08,43.37,1
394.82,37.3,1
223.75,72.68,1
484.9,77.78,1
475.79,107.37,1
318.03,41.83,1
736.37,101.94,1
405.93,85.21,1
360.52,59.59,1
419.68,97.9,1
396.52,43.05,1
551.78,94.26,1
191.46,26.0,1
633.39,96.22,1
471.04,66.48,1
381.69,43.07,1
505.14,66.07,1
452.26,33.82,1
464.35,37.14,1
388.82,53.47,1
491.01,53.47,1
379.38,40.07,1
391.55,26.48,1
560.07,110.16,1
802.84,90.97,1
234.15,37.3,1
642.54,141.67,1
1292.76,284.55,1
421.02,43.05,1
676.02,74.3,1
1050.83,185.15,1
1046.43,191.87,1
374.96,63.6,1
308.01,115.08,1
483.28,81.91,1
406.26,56.61,1
474.32,146.04,0
499.07,118.05,0
463.3,225.94,0
1250.74,215.01,0
1130.93,169.15,0
1302.64,318.0,0
397.83,189.53,0
514.78,282.54,0
516.68,282.54,0
366.51,139.46,0
729.23,108.74,0
712.49,88.51,0
1232.91,313.24,0
271.13,107.22,0
507.85,110.24,0
605.16,71.44,0
559.79,96.74,0
557.78,100.12,0
559.88,71.44,0
459.74,71.44,0
581.76,71.44,0
512.28,85.03,0
496.81,91.67,0
519.71,91.67,0
594.49,91.67,0
523.81,88.51,0
548.73,88.51,0
535.97,71.44,0
559.19,71.44,0
560.61,71.44,0
1132.53,169.15,0
654.06,175.24,0
271.34,107.22,0
1046.45,187.77,0
695.25,63.24,0
393.22,113.28,0
390.33,136.1,0
407.52,122.51,0
412.52,136.1,0
433.59,136.1,0
422.47,156.33,0
389.12,175.34,0
350.12,141.52,0
416.97,290.4,0
843.54,150.92,0
519.3,273.31,0
464.39,245.87,0
1141.37,357.59,0
202.36,74.43,0
620.55,127.3,0
670.11,84.78,0
369.52,142.57,0
872.46,114.92,0
652.63,175.24,0
844.16,120.56,0
369.94,113.28,0
1242.44,190.92,0
626.71,156.53,0
259.21,90.23,0
703.7,84.88,0
940.6,100.9,0
502.5,74.6,0
458.62,246.17,0
602.03,60.69,0
388.84,189.83,0
535.82,168.44,0
1087.57,161.7,0
400.42,111.39,0
699.69,84.71,0
392.86,211.78,0
297.38,89.87,0
362.8,130.47,0
1061.76,276.01,0
1005.87,239.04,0
363.67,12.89,0
233.07,125.77,0
633.6,51.21,0
493.86,51.21,0
908.22,153.3,0
860.13,131.56,0
756.28,159.24,0
754.14,177.01,0
621.05,200.41,0
464.66,247.89,0
330.41,93.41,0
388.03,105.45,0
1389.21,279.12,0
718.25,206.48,0
835.15,163.11,0
492.16,54.37,0
589.6,125.26,0
1146.1,251.62,0
286.21,113.52,0
305.53,133.69,0
398.81,54.37,0
771.24,96.89,0
684.87,297.04,0
267.93,174.56,0
383.51,169.3,0
850.18,275.02,0
1422.87,361.86,0
1030.33,171.56,0
906.83,153.3,0
1153.71,241.33,0
392.77,189.53,0
651.35,275.66,0
691.54,121.1,0
913.56,114.81,0
795.87,114.81,0
1583.3,411.25,0
1467.0,295.87,0
1300.15,194.09,0
1416.93,227.91,0
446.69,226.2,0
481.38,37.3,0
481.33,37.3,0
708.32,84.03,0
247.22,107.58,0
599.57,112.84,0
863.52,109.35,0
838.81,174.82,0
1064.65,161.7,0
1058.12,141.47,0
1067.06,161.7,0
781.31,84.71,0
887.72,114.99,0
732.09,200.19,0
465.45,64.52,0
1828.59,337.28,0
932.83,114.81,0
566.52,36.92,0
824.03,256.75,0
1074.13,156.38,0
717.67,319.57,0
1192.22,221.27,0
485.23,71.44,0
542.09,108.74,0
620.1,87.23,0
471.47,199.67,0
530.65,302.51,0
563.23,141.29,0
664.96,294.07,0
347.85,234.06,0
1200.45,234.86,0
975.88,155.51,0
865.58,146.04,0
907.7,267.95,0
812.28,183.65,0
411.1,37.3,0
712.84,108.74,0
432.86,164.05,0
573.12,92.68,0
808.34,95.03,0
407.08,174.56,0
817.6,256.75,0
686.58,310.39,0
921.22,114.81,0
919.94,114.81,0
581.58,80.81,0
1214.98,271.85,0
249.01,134.1,0
284.15,166.72,0
516.63,282.54,0
709.3,164.92,0
562.12,110.55,0
754.26,149.66,0
724.08,156.47,0
608.18,127.78,0
288.48,146.49,0
1698.87,425.87,0
617.02,119.68,0
743.96,130.56,0
827.27,89.9,0
593.62,4.93,0
356.32,20.23,0
231.14,104.06,0
903.44,189.41,0
345.4,140.92,0
645.03,46.61,0
509.53,37.3,0
310.59,122.23,0
475.24,196.22,0
546.86,157.57,0
579.88,311.16,0
402.51,232.01,0
1144.95,271.85,0
324.13,137.35,0
316.48,133.49,0
1060.87,122.65,0
602.82,77.76,0
353.25,62.75,0
370.78,188.18,0
676.2,108.94,0
640.77,151.76,0
456.57,77.85,0
763.26,126.64,0
256.12,128.65,0
354.88,186.35,0
300.91,115.45,0
925.25,57.19,0
439.26,155.89,0
867.2,218.23,0
723.89,151.47,0
510.92,123.83,0
394.53,189.53,0
539.65,174.58,0
386.55,189.83,0
535.22,71.44,0
996.79,248.14,0
361.1,147.54,0
271.58,107.22,0
581.64,100.9,0
537.83,317.53,0
691.79,294.67,0
533.28,293.28,0
495.55,75.51,0
589.2,117.52,0
505.09,66.7,0
889.51,254.93,0
294.82,79.67,0
270.41,86.71,0
590.12,285.12,0
622.24,74.03,0
493.56,176.03,0
908.66,156.47,0
320.74,155.44,0
348.31,155.44,0
829.01,406.75,0
374.39,169.86,0
300.68,133.49,0
391.88,189.53,0
547.44,243.9,0
486.89,188.92,0
383.93,130.91,0
1274.23,231.39,0
1058.6,317.75,0
489.45,346.74,0
585.49,376.2,0
330.52,175.67,0
321.87,155.44,0
326.73,155.44,0
346.1,37.3,0
528.45,265.47,0
261.48,74.6,0
546.4,134.36,0
379.79,98.74,0
425.53,247.97,0
425.95,247.97,0
432.26,194.6,0
934.2,388.29,0
915.92,388.29,0
903.96,408.3,0
457.68,119.84,0
370.73,148.02,0
360.26,55.12,0
362.88,203.44,0
352.85,107.33,0
436.12,124.9,0
506.19,156.53,0
757.32,136.78,0
576.57,67.39,0
1063.2,142.87,0
929.61,135.04,0
927.38,135.04,0
260.13,53.09,0
1142.78,139.72,0
663.45,94.8,0
1385.1,305.1,0
756.96,110.61,0
387.83,158.3,0
533.17,74.82,0
377.49,139.84,0
483.76,73.45,0
875.35,180.55,0
1151.35,241.33,0
1199.88,219.9,0
591.82,154.27,0
693.56,177.02,0
1480.5,279.43,0
614.03,117.89,0
296.13,74.96,0
998.84,425.21,0
369.37,164.75,0
394.72,54.37,0
405.68,17.07,0
517.48,165.95,0
286.84,96.92,0
1227.15,238.17,0
1204.8,238.34,0
1103.67,163.72,0
1600.28,297.92,0
591.16,154.27,0
498.77,110.31,0
975.89,163.11,0
1375.38,223.32,0
603.24,132.76,0
970.24,173.25,0
756.44,80.67,0
901.52,163.11,0
617.63,152.99,0
468.34,25.78,0
975.14,163.11,0
596.14,137.01,0
375.47,169.86,0
1160.04,199.84,0
498.47,110.31,0
571.89,137.01,0
1182.29,214.32,0
450.74,186.37,0
461.63,37.3,0
801.39,114.81,0
849.71,114.81,0
886.99,140.26,0
943.25,131.88,0
989.62,131.88,0
1001.51,140.11,0
1026.33,157.33,0
886.24,123.04,0
1051.04,157.33,0
1000.23,197.25,0
