MSA,NumberofCarbons,PSA,donorCount,acceptorCount,atomCount,label
385.57,17,52.48,0,3,40,1
386.56,17,52.48,0,3,40,1
485.01,21,46.53,2,4,52,1
371.3,16,29.46,2,3,40,1
250.76,10,20.23,2,2,27,1
310.79,12,25.78,2,5,30,1
492.38,21,94.3,1,6,52,1
417.9,20,55.94,1,4,48,1
592.12,28,108.59,2,6,61,1
544.33,21,177.6,4,11,54,1
361.2,16,26.3,1,3,40,1
431.16,13,86.17,2,7,43,1
431.24,19,27.69,1,4,46,1
785.27,33,112.34,1,11,86,1
529.61,23,74.51,0,5,57,1
902.15,37,169.58,4,13,98,1
376.41,15,60.09,1,3,39,1
390.54,16,30.66,1,3,43,1
438.43,18,107.18,1,7,44,1
606.83,25,69.92,4,5,67,1
886.39,38,114.99,5,11,99,1
379.6,17,72.65,1,5,43,1
374.69,17,12.0,1,3,37,1
617.7,22,140.85,1,9,63,1
372.39,12,62.75,3,5,38,1
474.76,19,81.55,3,9,52,1
524.92,24,85.74,0,5,61,1
247.8,10,78.87,2,6,28,1
302.72,10,68.55,2,5,28,1
203.49,6,42.52,2,4,19,1
440.91,15,82.41,2,7,46,1
406.53,14,71.9,2,4,41,1
264.66,13,12.89,1,2,29,1
1076.29,44,188.71,3,13,126,1
537.32,26,22.82,0,2,57,1
1110.24,43,192.55,1,14,123,1
494.84,19,97.72,1,9,53,1
329.78,12,60.69,4,4,35,1
685.48,32,54.05,2,3,76,1
378.08,19,43.37,0,3,46,1
394.82,19,37.3,1,2,49,1
223.75,7,72.68,1,3,21,1
484.9,21,77.78,0,4,51,1
475.79,20,107.37,1,5,50,1
318.03,14,41.83,0,3,31,1
736.37,31,101.94,2,10,75,1
405.93,14,85.21,2,6,42,1
360.52,12,59.59,2,5,36,1
419.68,12,97.9,1,9,43,1
396.52,16,43.05,1,3,44,1
551.78,24,94.26,2,7,65,1
191.46,9,26.0,1,1,21,1
633.39,26,96.22,3,9,70,1
471.04,19,66.48,0,6,48,1
381.69,17,43.07,0,5,35,1
505.14,21,66.07,0,7,52,1
452.26,20,33.82,1,2,53,1
464.35,22,37.14,0,2,51,1
388.82,14,53.47,2,7,39,1
491.01,19,53.47,3,8,50,1
379.38,16,40.07,0,3,40,1
391.55,19,26.48,0,2,43,1
560.07,24,110.16,2,7,58,1
802.84,37,90.97,2,6,86,1
234.15,8,37.3,1,2,26,1
642.54,23,141.67,1,8,66,1
1292.76,46,284.55,14,29,140,1
421.02,17,43.05,1,3,47,1
676.02,27,74.3,0,6,71,1
1050.83,46,185.15,3,12,117,1
1046.43,46,191.87,3,13,116,1
374.96,19,63.6,1,4,39,1
308.01,10,115.08,3,8,33,1
483.28,21,81.91,1,7,49,1
406.26,19,56.61,0,4,46,1
474.32,15,146.04,6,11,51,0
499.07,21,118.05,3,10,54,0
463.3,10,225.94,7,14,44,0
1250.74,51,215.01,4,16,143,0
1130.93,40,169.15,11,20,127,0
1302.64,48,318.0,6,23,147,0
397.83,12,189.53,8,11,45,0
514.78,10,282.54,7,17,47,0
516.68,10,282.54,7,17,47,0
366.51,11,139.46,2,8,34,0
729.23,24,108.74,6,12,80,0
712.49,24,88.51,5,11,79,0
1232.91,50,313.24,2,21,143,0
271.13,8,107.22,5,7,30,0
507.85,15,110.24,7,10,56,0
605.16,22,71.44,6,9,68,0
559.79,17,96.74,6,10,62,0
557.78,18,100.12,7,10,62,0
559.88,18,71.44,6,9,64,0
459.74,14,71.44,6,9,52,0
581.76,21,71.44,6,9,65,0
512.28,17,85.03,5,9,59,0
496.81,15,91.67,7,10,56,0
519.71,16,91.67,7,10,59,0
594.49,21,91.67,7,10,66,0
523.81,16,88.51,7,11,59,0
548.73,17,88.51,7,11,62,0
535.97,17,71.44,6,9,61,0
559.19,18,71.44,6,9,64,0
560.61,18,71.44,6,9,64,0
1132.53,40,169.15,11,20,127,0
654.06,23,175.24,7,9,73,0
271.34,8,107.22,5,7,30,0
1046.45,34,187.77,11,22,115,0
695.25,27,63.24,3,10,73,0
393.22,12,113.28,2,7,35,0
390.33,13,136.1,1,8,35,0
407.52,12,122.51,2,8,36,0
412.52,13,136.1,1,8,37,0
433.59,11,136.1,2,9,41,0
422.47,13,156.33,2,9,38,0
389.12,11,175.34,2,9,34,0
350.12,9,141.52,2,8,29,0
416.97,6,290.4,9,15,39,0
843.54,30,150.92,5,13,91,0
519.3,10,273.31,8,17,48,0
464.39,12,245.87,9,14,50,0
1141.37,39,357.59,13,29,119,0
202.36,5,74.43,3,4,16,0
620.55,23,127.3,3,11,65,0
670.11,30,84.78,3,9,75,0
369.52,12,142.57,3,8,33,0
872.46,39,114.92,4,8,96,0
652.63,23,175.24,7,9,73,0
844.16,33,120.56,5,12,92,0
369.94,10,113.28,2,7,35,0
1242.44,46,190.92,7,19,144,0
626.71,20,156.53,4,16,56,0
259.21,9,90.23,4,7,30,0
703.7,32,84.88,1,5,73,0
940.6,41,100.9,6,10,105,0
502.5,23,74.6,3,5,55,0
458.62,10,246.17,7,14,43,0
602.03,27,60.69,3,3,74,0
388.84,10,189.83,6,11,38,0
535.82,20,168.44,6,14,55,0
1087.57,44,161.7,6,16,116,0
400.42,11,111.39,1,8,38,0
699.69,33,84.71,4,7,76,0
392.86,9,211.78,5,13,38,0
297.38,12,89.87,3,6,34,0
362.8,12,130.47,5,8,37,0
1061.76,41,276.01,12,23,115,0
1005.87,36,239.04,11,22,110,0
363.67,18,12.89,1,3,40,0
233.07,6,125.77,5,6,25,0
633.6,23,51.21,4,10,68,0
493.86,17,51.21,3,12,48,0
908.22,32,153.3,6,12,97,0
860.13,32,131.56,6,14,95,0
756.28,27,159.24,5,10,82,0
754.14,31,177.01,2,12,84,0
621.05,20,200.41,8,15,67,0
464.66,10,247.89,5,15,43,0
330.41,12,93.41,1,5,33,0
388.03,12,105.45,4,8,43,0
1389.21,48,279.12,13,26,157,0
718.25,26,206.48,7,16,76,0
835.15,29,163.11,10,16,92,0
492.16,24,54.37,1,3,53,0
589.6,25,125.26,3,12,62,0
1146.1,41,251.62,12,22,127,0
286.21,10,113.52,3,7,30,0
305.53,10,133.69,5,8,32,0
398.81,19,54.37,2,4,42,0
771.24,32,96.89,3,7,82,0
684.87,20,297.04,10,19,75,0
267.93,5,174.56,6,9,26,0
383.51,12,169.3,7,10,44,0
850.18,27,275.02,9,20,86,0
1422.87,51,361.86,17,30,154,0
1030.33,39,171.56,9,15,115,0
906.83,32,153.3,6,12,97,0
1153.71,43,241.33,14,22,127,0
392.77,12,189.53,8,11,45,0
651.35,17,275.66,7,16,67,0
691.54,27,121.1,7,12,75,0
913.56,36,114.81,6,12,101,0
795.87,29,114.81,6,12,88,0
1583.3,59,411.25,16,32,173,0
1467.0,58,295.87,12,25,161,0
1300.15,49,194.09,11,20,144,0
1416.93,56,227.91,11,21,156,0
446.69,10,226.2,6,14,42,0
481.38,18,37.3,1,2,56,0
481.33,18,37.3,1,2,56,0
708.32,22,84.03,1,9,76,0
247.22,8,107.58,3,6,27,0
599.57,28,112.84,2,7,64,0
863.52,38,109.35,4,8,93,0
838.81,33,174.82,4,13,87,0
1064.65,44,161.7,6,14,116,0
1058.12,44,141.47,5,13,115,0
1067.06,44,161.7,6,14,116,0
781.31,41,84.71,2,5,84,0
887.72,38,114.99,5,11,99,0
732.09,28,200.19,7,16,79,0
465.45,19,64.52,2,5,47,0
1828.59,71,337.28,13,32,204,0
932.83,38,114.81,7,13,101,0
566.52,21,36.92,0,4,61,0
824.03,28,256.75,9,18,86,0
1074.13,45,156.38,6,13,118,0
717.67,24,319.57,10,19,78,0
1192.22,47,221.27,8,19,132,0
485.23,15,71.44,6,9,55,0
542.09,17,108.74,7,11,61,0
620.1,23,87.23,7,9,69,0
471.47,14,199.67,6,11,51,0
530.65,10,302.51,8,17,48,0
563.23,22,141.29,5,8,56,0
664.96,19,294.07,7,20,67,0
347.85,6,234.06,8,12,34,0
1200.45,50,234.86,10,18,127,0
975.88,37,155.51,9,15,109,0
865.58,33,146.04,9,14,95,0
907.7,31,267.95,10,20,90,0
812.28,32,183.65,4,13,90,0
411.1,19,37.3,1,2,51,0
712.84,29,108.74,5,9,77,0
432.86,13,164.05,3,9,42,0
573.12,25,92.68,3,7,59,0
808.34,26,95.03,2,7,91,0
407.08,12,174.56,7,10,41,0
817.6,27,256.75,9,18,85,0
686.58,20,310.39,8,20,70,0
921.22,38,114.81,6,12,99,0
919.94,38,114.81,6,12,99,0
581.58,26,80.81,3,7,63,0
1214.98,44,271.85,12,22,135,0
249.01,5,134.1,4,7,24,0
284.15,6,166.72,6,9,29,0
516.63,10,282.54,7,17,47,0
709.3,27,164.92,6,13,76,0
562.12,22,110.55,4,9,60,0
754.26,26,149.66,10,15,83,0
724.08,25,156.47,6,13,81,0
608.18,23,127.78,4,9,62,0
288.48,6,146.49,6,9,30,0
1698.87,63,425.87,20,39,185,0
617.02,23,119.68,2,13,56,0
743.96,32,130.56,4,9,78,0
827.27,33,89.9,5,10,91,0
593.62,27,4.93,2,3,65,0
356.32,12,20.23,1,1,39,0
231.14,10,104.06,3,6,26,0
903.44,37,189.41,8,16,96,0
345.4,9,140.92,4,9,34,0
645.03,27,46.61,4,9,69,0
509.53,23,37.3,1,2,57,0
310.59,11,122.23,6,6,33,0
475.24,15,196.22,5,11,50,0
546.86,19,157.57,4,12,58,0
579.88,15,311.16,9,19,60,0
402.51,9,232.01,6,14,39,0
1144.95,41,271.85,15,25,124,0
324.13,14,137.35,3,7,30,0
316.48,10,133.49,5,8,33,0
1060.87,45,122.65,7,13,116,0
602.82,26,77.76,3,4,74,0
353.25,16,62.75,2,4,34,0
370.78,10,188.18,5,11,36,0
676.2,21,108.94,1,8,73,0
640.77,18,151.76,1,9,65,0
456.57,21,77.85,1,4,43,0
763.26,34,126.64,3,9,80,0
256.12,8,128.65,5,8,28,0
354.88,9,186.35,5,12,36,0
300.91,9,115.45,4,6,33,0
925.25,42,57.19,3,7,108,0
439.26,14,155.89,5,11,46,0
867.2,41,218.23,4,13,92,0
723.89,34,151.47,3,9,79,0
510.92,22,123.83,3,7,53,0
394.53,12,189.53,8,11,45,0
539.65,17,174.58,6,13,52,0
386.55,10,189.83,6,11,38,0
535.22,17,71.44,6,9,61,0
996.79,36,248.14,10,20,109,0
361.1,10,147.54,6,10,37,0
271.58,8,107.22,5,7,30,0
581.64,27,100.9,4,8,61,0
537.83,10,317.53,8,17,48,0
691.79,20,294.67,10,20,72,0
533.28,10,293.28,9,17,49,0
495.55,22,75.51,0,6,49,0
589.2,21,117.52,3,13,54,0
505.09,23,66.7,5,8,52,0
889.51,29,254.93,11,21,96,0
294.82,10,79.67,3,6,32,0
270.41,10,86.71,3,7,30,0
590.12,15,285.12,8,18,59,0
622.24,24,74.03,3,9,68,0
493.56,13,176.03,4,10,46,0
908.66,36,156.47,9,17,100,0
320.74,9,155.44,4,10,33,0
348.31,10,155.44,4,10,36,0
829.01,20,406.75,9,26,80,0
374.39,10,169.86,5,11,37,0
300.68,10,133.49,4,7,31,0
391.88,12,189.53,8,11,45,0
547.44,17,243.9,10,15,61,0
486.89,12,188.92,4,11,45,0
383.93,10,130.91,4,9,36,0
1274.23,45,231.39,13,23,142,0
1058.6,36,317.75,10,23,114,0
489.45,6,346.74,10,18,44,0
585.49,9,376.2,11,20,55,0
330.52,9,175.67,5,11,34,0
321.87,9,155.44,4,10,33,0
326.73,9,155.44,4,11,33,0
346.1,18,37.3,1,2,38,0
528.45,10,265.47,7,16,47,0
261.48,11,74.6,2,4,27,0
546.4,19,134.36,4,9,61,0
379.79,15,98.74,5,6,41,0
425.53,10,247.97,7,13,41,0
425.95,10,247.97,7,13,41,0
432.26,13,194.6,7,11,48,0
934.2,31,388.29,17,24,110,0
915.92,31,388.29,17,24,108,0
903.96,23,408.3,10,25,88,0
457.68,16,119.84,1,8,40,0
370.73,11,148.02,5,10,36,0
360.26,14,55.12,2,4,38,0
362.88,12,203.44,7,12,40,0
352.85,12,107.33,5,7,37,0
436.12,19,124.9,4,7,43,0
506.19,16,156.53,3,10,50,0
757.32,29,136.78,4,11,81,0
576.57,22,67.39,4,9,55,0
1063.2,42,142.87,3,11,123,0
929.61,38,135.04,7,13,100,0
927.38,38,135.04,7,13,100,0
260.13,11,53.09,3,3,27,0
1142.78,40,139.72,12,19,128,0
663.45,30,94.8,1,5,68,0
1385.1,49,305.1,11,26,155,0
756.96,32,110.61,2,11,80,0
387.83,12,158.3,6,10,44,0
533.17,22,74.82,2,7,61,0
377.49,12,139.84,7,9,44,0
483.76,23,73.45,3,6,49,0
875.35,28,180.55,4,19,84,0
1151.35,43,241.33,14,22,127,0
1199.88,45,219.9,9,18,132,0
591.82,24,154.27,6,11,62,0
693.56,23,177.02,7,15,75,0
1480.5,52,279.43,15,27,163,0
614.03,24,117.89,5,9,67,0
296.13,10,74.96,3,6,33,0
998.84,32,425.21,16,27,115,0
369.37,11,164.75,7,10,40,0
394.72,12,54.37,5,7,45,0
405.68,15,17.07,1,5,38,0
517.48,22,165.95,6,11,56,0
286.84,9,96.92,5,8,30,0
1227.15,44,238.17,15,24,134,0
1204.8,46,238.34,10,22,132,0
1103.67,42,163.72,8,14,124,0
1600.28,62,297.92,15,29,184,0
591.16,24,154.27,6,11,62,0
498.77,19,110.31,2,7,48,0
975.89,34,163.11,8,14,111,0
1375.38,54,223.32,12,24,158,0
603.24,24,132.76,3,10,66,0
970.24,35,173.25,8,16,106,0
756.44,28,80.67,5,9,85,0
901.52,31,163.11,8,14,102,0
617.63,24,152.99,4,11,67,0
468.34,23,25.78,1,5,47,0
975.14,34,163.11,8,14,111,0
596.14,22,137.01,4,10,60,0
375.47,10,169.86,5,11,37,0
1160.04,42,199.84,9,19,129,0
498.47,19,110.31,2,7,48,0
571.89,21,137.01,4,10,57,0
1182.29,40,214.32,12,21,134,0
450.74,14,186.37,8,12,51,0
461.63,18,37.3,1,2,54,0
801.39,29,114.81,6,12,88,0
849.71,31,114.81,6,12,94,0
886.99,31,140.26,5,12,96,0
943.25,34,131.88,7,14,104,0
989.62,36,131.88,7,14,110,0
1001.51,36,140.11,6,13,110,0
1026.33,36,157.33,6,14,112,0
886.24,32,123.04,5,11,97,0
1051.04,37,157.33,6,14,115,0
1000.23,36,197.25,10,18,111,0
