donorCount,apolarsurfacearea,PSA,atomCount,hydrogenCount,wienerindex,DrugOrNonDrug
2,361.09,32.59,43,24,681,1
4,833.9,209.26,113,51,14767,1
0,411.49,49.81,46,21,1534,1
1,387.85,27.69,44,20,1445,1
4,216.81,100.1,35,16,670,1
1,375.77,54.68,48,26,945,1
1,423.53,12.0,55,35,802,1
1,423.62,86.3,53,26,2000,1
2,333.31,46.18,40,19,911,1
3,198.28,40.46,25,13,206,1
2,264.84,46.17,31,12,617,1
1,331.0,53.48,41,21,760,1
2,251.6,105.59,40,18,787,1
0,244.2,44.12,31,16,367,1
1,546.07,49.73,63,29,3961,1
3,308.72,45.25,38,20,687,1
1,351.06,93.59,45,20,1917,1
2,115.55,24.1,16,10,27,1
1,365.25,77.45,47,21,1540,1
2,262.33,106.3,36,13,1116,1
2,232.92,37.66,31,17,318,1
4,431.11,124.29,66,36,2600,1
1,377.68,101.63,49,21,2195,1
3,352.78,94.83,54,28,1425,1
2,316.97,17.07,36,20,488,1
2,321.26,30.66,38,21,618,1
1,307.31,39.89,37,20,618,1
0,409.08,66.07,49,24,1544,1
1,395.1,33.82,50,29,903,1
0,399.39,34.14,53,30,1052,1
0,333.09,52.48,40,20,789,1
0,334.08,52.48,40,20,744,1
2,438.48,46.53,52,27,1786,1
2,341.84,29.46,40,21,792,1
2,230.53,20.23,27,15,202,1
2,285.01,25.78,30,13,498,1
1,398.08,94.3,52,25,1956,1
1,361.96,55.94,48,24,1258,1
2,483.53,108.59,61,27,3843,1
4,366.73,177.6,54,22,3432,1
1,334.9,26.3,40,21,735,1
2,344.99,86.17,43,22,1227,1
1,403.55,27.69,46,23,1166,1
1,672.93,112.34,86,42,6944,1
0,455.1,74.51,57,27,2793,1
4,732.57,169.58,98,48,10769,1
1,316.32,60.09,39,19,871,1
1,359.88,30.66,43,24,759,1
1,331.25,107.18,44,19,1883,1
4,536.91,69.92,67,37,3802,1
5,771.4,114.99,99,50,9512,1
1,306.95,72.65,43,21,1081,1
1,362.69,12.0,37,17,770,1
1,476.85,140.85,63,30,3086,1
3,309.64,62.75,38,20,706,1
3,393.21,81.55,52,24,1781,1
0,439.18,85.74,61,32,1905,1
2,168.93,78.87,28,12,433,1
2,234.17,68.55,28,11,535,1
2,160.97,42.52,19,8,152,1
2,358.5,82.41,46,23,1251,1
2,334.63,71.9,41,21,859,1
1,251.77,12.89,29,14,326,1
3,887.58,188.71,126,69,12629,1
0,514.5,22.82,57,29,2141,1
1,917.69,192.55,123,65,14388,1
1,397.12,97.72,53,25,2195,1
4,269.09,60.69,35,19,468,1
2,631.43,54.05,76,41,4424,1
0,334.71,43.37,46,24,928,1
1,357.52,37.3,49,28,802,1
1,151.07,72.68,21,8,211,1
0,407.12,77.78,51,26,1444,1
1,368.42,107.37,50,25,1596,1
0,276.2,41.83,31,14,533,1
2,634.43,101.94,75,33,6752,1
2,320.72,85.21,42,21,1014,1
2,300.93,59.59,36,18,685,1
1,321.78,97.9,43,21,948,1
1,353.47,43.05,44,25,670,1
2,457.52,94.26,65,34,2772,1
1,165.46,26.0,21,11,119,1
3,537.17,96.22,70,35,4909,1
0,404.56,66.48,48,22,2003,1
0,338.62,43.07,35,12,1035,1
0,439.07,66.07,52,24,2075,1
1,418.44,33.82,53,31,1039,1
0,427.21,37.14,51,25,1584,1
2,335.35,53.47,39,18,946,1
3,437.54,53.47,50,23,1952,1
0,339.31,40.07,40,21,742,1
0,365.07,26.48,43,22,953,1
2,449.91,110.16,58,27,3093,1
2,711.87,90.97,86,41,6292,1
1,196.85,37.3,26,16,131,1
1,500.87,141.67,66,32,3398,1
14,1008.21,284.55,140,65,29219,1
1,377.97,43.05,47,27,792,1
0,601.72,74.3,71,38,3698,1
3,865.68,185.15,117,58,11658,1
3,854.56,191.87,116,56,12104,1
1,311.36,63.6,39,16,1092,1
3,192.93,115.08,33,14,701,1
1,401.37,81.91,49,21,2344,1
0,349.65,56.61,46,23,1137,1
6,328.28,146.04,51,25,1828,0
3,381.02,118.05,54,23,2710,0
7,237.36,225.94,44,16,2115,0
4,1035.73,215.01,143,76,20679,0
11,961.78,169.15,127,67,17999,0
6,984.64,318.0,147,76,28494,0
8,208.3,189.53,45,22,1110,0
7,232.24,282.54,47,16,2671,0
7,234.14,282.54,47,16,2671,0
2,227.05,139.46,34,14,981,0
6,620.49,108.74,80,44,4130,0
5,623.98,88.51,79,44,3910,0
2,919.67,313.24,143,72,28655,0
5,163.91,107.22,30,15,354,0
7,397.61,110.24,56,31,1766,0
6,533.72,71.44,68,37,3020,0
6,463.05,96.74,62,35,2126,0
7,457.66,100.12,62,33,2493,0
6,488.44,71.44,64,37,2080,0
6,388.3,71.44,52,29,1506,0
6,510.32,71.44,65,35,2719,0
5,427.25,85.03,59,33,1880,0
7,405.14,91.67,56,31,1766,0
7,428.04,91.67,59,33,1910,0
7,502.82,91.67,66,35,2972,0
7,435.3,88.51,59,32,2102,0
7,460.22,88.51,62,34,2321,0
6,464.53,71.44,61,35,1933,0
6,487.75,71.44,64,37,2126,0
6,489.17,71.44,64,37,2102,0
11,963.38,169.15,127,67,17999,0
7,478.82,175.24,73,38,4380,0
5,164.12,107.22,30,15,354,0
11,858.68,187.77,115,59,18551,0
3,632.01,63.24,73,36,4606,0
2,279.94,113.28,35,14,1017,0
1,254.23,136.1,35,12,1131,0
2,285.01,122.51,36,14,1180,0
1,276.42,136.1,37,14,1131,0
2,297.49,136.1,41,19,983,0
2,266.14,156.33,38,14,1270,0
2,213.78,175.34,34,12,988,0
2,208.6,141.52,29,10,750,0
9,126.57,290.4,39,15,1221,0
5,692.62,150.92,91,47,6630,0
8,245.99,273.31,48,17,2891,0
9,218.52,245.87,50,23,1858,0
13,783.78,357.59,119,51,21906,0
3,127.93,74.43,16,4,178,0
3,493.25,127.3,65,29,4541,0
3,585.33,84.78,75,36,5234,0
3,226.95,142.57,33,11,946,0
4,757.54,114.92,96,48,9364,0
7,477.39,175.24,73,38,4380,0
5,723.6,120.56,92,47,8646,0
2,256.66,113.28,35,16,634,0
7,1051.52,190.92,144,79,23409,0
4,470.18,156.53,56,19,4768,0
4,168.98,90.23,30,14,414,0
1,618.82,84.88,73,35,5319,0
6,839.7,100.9,105,54,10868,0
3,427.9,74.6,55,27,2494,0
7,212.45,246.17,43,15,2115,0
3,541.34,60.69,74,44,2677,0
6,199.01,189.83,38,14,1230,0
6,367.38,168.44,55,21,4127,0
6,925.87,161.7,116,56,16308,0
1,289.03,111.39,38,18,949,0
4,614.98,84.71,76,36,4837,0
5,181.08,211.78,38,14,1460,0
3,207.51,89.87,34,16,567,0
5,232.33,130.47,37,16,862,0
12,785.75,276.01,115,51,20065,0
11,766.83,239.04,110,52,15546,0
1,350.78,12.89,40,19,842,0
5,107.3,125.77,25,11,262,0
4,582.39,51.21,68,35,3502,0
3,442.65,51.21,48,19,2580,0
6,754.92,153.3,97,51,8198,0
6,728.57,131.56,95,49,7856,0
5,597.04,159.24,82,44,4935,0
2,577.13,177.01,84,41,6784,0
8,420.64,200.41,67,32,4004,0
5,216.77,247.89,43,15,2316,0
1,237.0,93.41,33,15,578,0
4,282.58,105.45,43,23,825,0
13,1110.09,279.12,157,83,31808,0
7,511.77,206.48,76,34,6811,0
10,672.04,163.11,92,47,8360,0
1,437.79,54.37,53,26,2034,0
3,464.34,125.26,62,24,4668,0
12,894.48,251.62,127,64,22054,0
3,172.69,113.52,30,12,568,0
5,171.84,133.69,32,13,657,0
2,344.44,54.37,42,19,1550,0
3,674.35,96.89,82,42,5491,0
10,387.83,297.04,75,35,4915,0
6,93.37,174.56,26,11,402,0
7,214.21,169.3,44,22,1011,0
9,575.16,275.02,86,38,11002,0
17,1061.01,361.86,154,73,38940,0
9,858.77,171.56,115,60,13772,0
6,753.53,153.3,97,51,8198,0
14,912.38,241.33,127,62,21075,0
8,203.24,189.53,45,22,1134,0
7,375.69,275.66,67,32,4060,0
7,570.44,121.1,75,36,5568,0
6,798.75,114.81,101,53,9108,0
6,681.06,114.81,88,47,6554,0
16,1172.05,411.25,173,82,54834,0
12,1171.13,295.87,161,78,43261,0
11,1106.06,194.09,144,75,26200,0
11,1189.02,227.91,156,79,35320,0
6,220.49,226.2,42,15,1925,0
1,444.08,37.3,56,36,1313,0
1,444.03,37.3,56,36,1313,0
1,624.29,84.03,76,44,4478,0
3,139.64,107.58,27,13,274,0
2,486.73,112.84,64,28,4114,0
4,754.17,109.35,93,46,8805,0
4,663.99,174.82,87,41,8500,0
6,902.95,161.7,116,58,15471,0
5,916.65,141.47,115,58,15056,0
6,905.36,161.7,116,58,15471,0
2,696.6,84.71,84,38,7167,0
5,772.73,114.99,99,50,9512,0
7,531.9,200.19,79,35,7250,0
2,400.93,64.52,47,21,1975,0
13,1491.31,337.28,204,101,99224,0
7,818.02,114.81,101,50,11058,0
0,529.6,36.92,61,36,2046,0
9,567.28,256.75,86,39,8934,0
6,917.75,156.38,118,59,16391,0
10,398.1,319.57,78,35,6676,0
8,970.95,221.27,132,66,21682,0
6,413.79,71.44,55,31,1624,0
7,433.35,108.74,61,33,2321,0
7,532.87,87.23,69,36,3413,0
6,271.8,199.67,51,26,1442,0
8,228.14,302.51,48,16,3140,0
5,421.94,141.29,56,23,3391,0
7,370.89,294.07,67,25,6929,0
8,113.79,234.06,34,14,752,0
10,965.59,234.86,127,58,23457,0
9,820.37,155.51,109,56,12668,0
9,719.54,146.04,95,48,9232,0
10,639.75,267.95,90,37,12110,0
4,628.63,183.65,90,45,7965,0
1,373.8,37.3,51,30,802,0
5,604.1,108.74,77,39,5081,0
3,268.81,164.05,42,19,1382,0
3,480.44,92.68,59,26,3644,0
2,713.31,95.03,91,57,5847,0
7,232.52,174.56,41,18,1364,0
9,560.85,256.75,85,39,8549,0
8,376.19,310.39,70,27,7670,0
6,806.41,114.81,99,49,10680,0
6,805.13,114.81,99,49,10680,0
3,500.77,80.81,63,30,3876,0
12,943.13,271.85,135,69,24304,0
4,114.91,134.1,24,11,272,0
6,117.43,166.72,29,13,443,0
7,234.09,282.54,47,16,2891,0
6,544.38,164.92,76,35,5757,0
4,451.57,110.55,60,28,2940,0
10,604.6,149.66,83,42,6188,0
6,567.61,156.47,81,43,4972,0
4,480.4,127.78,62,29,3786,0
6,141.99,146.49,30,14,443,0
20,1273.0,425.87,185,83,83163,0
2,497.34,119.68,56,20,4317,0
4,613.4,130.56,78,37,5842,0
5,737.37,89.9,91,48,6693,0
2,588.69,4.93,65,34,2458,0
1,336.09,20.23,39,25,455,0
3,127.08,104.06,26,10,445,0
8,714.03,189.41,96,43,12278,0
4,204.48,140.92,34,14,859,0
4,598.42,46.61,69,33,4074,0
1,472.23,37.3,57,32,1638,0
6,188.36,122.23,33,14,657,0
5,279.02,196.22,50,23,1993,0
4,389.29,157.57,58,27,3634,0
9,268.72,311.16,60,24,4467,0
6,170.5,232.01,39,14,1584,0
15,873.1,271.85,124,58,25091,0
3,186.78,137.35,30,8,906,0
5,182.99,133.49,33,13,753,0
7,938.22,122.65,116,58,16909,0
3,525.06,77.76,74,44,2239,0
2,290.5,62.75,34,13,874,0
5,182.6,188.18,36,13,1191,0
1,567.26,108.94,73,43,3015,0
1,489.01,151.76,65,37,2456,0
1,378.72,77.85,43,16,1871,0
3,636.62,126.64,80,37,6059,0
5,127.47,128.65,28,12,374,0
5,168.53,186.35,36,14,1077,0
4,185.46,115.45,33,18,354,0
3,868.06,57.19,108,58,12010,0
5,283.37,155.89,46,20,1845,0
4,648.97,218.23,92,38,11625,0
3,572.42,151.47,79,36,6244,0
3,387.09,123.83,53,24,2446,0
8,205.0,189.53,45,22,1134,0
6,365.07,174.58,52,21,3102,0
6,196.72,189.83,38,14,1330,0
6,463.78,71.44,61,35,1910,0
10,748.65,248.14,109,53,14380,0
6,213.56,147.54,37,17,969,0
5,164.36,107.22,30,15,354,0
4,480.74,100.9,61,26,4266,0
8,220.3,317.53,48,16,3140,0
10,397.12,294.67,72,30,6178,0
9,240.0,293.28,49,17,3140,0
0,420.04,75.51,49,20,2578,0
3,471.68,117.52,54,17,4925,0
5,438.39,66.7,52,21,2812,0
11,634.58,254.93,96,45,10991,0
3,215.15,79.67,32,16,500,0
3,183.7,86.71,30,13,492,0
8,305.0,285.12,59,23,4570,0
3,548.21,74.03,68,35,3593,0
4,317.53,176.03,46,20,1952,0
9,752.19,156.47,100,47,10920,0
4,165.3,155.44,33,13,859,0
4,192.87,155.44,36,15,969,0
9,422.26,406.75,80,29,11110,0
5,204.53,169.86,37,14,1191,0
4,167.19,133.49,31,12,657,0
8,202.35,189.53,45,22,1134,0
10,303.54,243.9,61,29,2655,0
4,297.97,188.92,45,19,1952,0
4,253.02,130.91,36,14,1176,0
13,1042.84,231.39,142,74,23914,0
10,740.85,317.75,114,54,18335,0
10,142.71,346.74,44,16,1794,0
11,209.29,376.2,55,22,2976,0
5,154.85,175.67,34,13,896,0
4,166.43,155.44,33,13,815,0
4,171.29,155.44,33,12,896,0
1,308.8,37.3,38,18,724,0
7,262.98,265.47,47,16,2891,0
2,186.88,74.6,27,12,390,0
4,412.04,134.36,61,33,2125,0
5,281.05,98.74,41,19,1090,0
7,177.56,247.97,41,16,1394,0
7,177.98,247.97,41,16,1394,0
7,237.66,194.6,48,24,1284,0
17,545.91,388.29,110,55,14124,0
17,527.63,388.29,108,53,14124,0
10,495.66,408.3,88,34,14269,0
1,337.84,119.84,40,13,1959,0
5,222.71,148.02,36,14,1099,0
2,305.14,55.12,38,19,760,0
7,159.44,203.44,40,16,1264,0
5,245.52,107.33,37,17,774,0
4,311.22,124.9,43,16,1709,0
3,349.66,156.53,50,23,2538,0
4,620.54,136.78,81,40,5552,0
4,509.18,67.39,55,22,3578,0
3,920.33,142.87,123,70,11602,0
7,794.57,135.04,100,49,11058,0
7,792.34,135.04,100,49,11058,0
3,207.04,53.09,27,12,369,0
12,1003.06,139.72,128,69,17524,0
1,568.65,94.8,68,31,4922,0
11,1080.0,305.1,155,80,34036,0
2,646.35,110.61,80,37,7479,0
6,229.53,158.3,44,22,1014,0
2,458.35,74.82,61,32,2223,0
7,237.65,139.84,44,23,916,0
3,410.31,73.45,49,20,2306,0
4,694.8,180.55,84,36,8541,0
14,910.02,241.33,127,62,21075,0
9,979.98,219.9,132,67,21228,0
6,437.55,154.27,62,27,3916,0
7,516.54,177.02,75,37,5206,0
15,1201.07,279.43,163,83,39201,0
5,496.14,117.89,67,33,3634,0
3,221.17,74.96,33,17,500,0
16,573.63,425.21,115,56,15704,0
7,204.62,164.75,40,19,858,0
5,340.35,54.37,45,26,844,0
1,388.61,17.07,38,18,828,0
6,351.53,165.95,56,23,2546,0
5,189.92,96.92,30,13,504,0
15,988.98,238.17,134,66,25674,0
10,966.46,238.34,132,64,26875,0
8,939.95,163.72,124,67,14473,0
15,1302.36,297.92,184,93,56122,0
6,436.89,154.27,62,27,3916,0
2,388.46,110.31,48,20,2162,0
8,812.78,163.11,111,63,10287,0
12,1152.06,223.32,158,80,35721,0
3,470.48,132.76,66,32,3808,0
8,796.99,173.25,106,55,10530,0
5,675.77,80.67,85,48,4754,0
8,738.41,163.11,102,57,8558,0
4,464.64,152.99,67,32,4156,0
1,442.56,25.78,47,19,1985,0
8,812.03,163.11,111,63,10287,0
4,459.13,137.01,60,27,3812,0
5,205.61,169.86,37,14,1099,0
9,960.2,199.84,129,68,18280,0
2,388.16,110.31,48,20,2227,0
4,434.88,137.01,57,25,3615,0
12,967.97,214.32,134,73,18524,0
8,264.37,186.37,51,25,1601,0
1,424.33,37.3,54,34,1313,0
6,686.58,114.81,88,47,6776,0
6,734.9,114.81,94,51,7512,0
5,746.73,140.26,96,52,7915,0
7,811.37,131.88,104,56,10317,0
7,857.74,131.88,110,60,11301,0
6,861.4,140.11,110,61,10832,0
6,869.0,157.33,112,61,11772,0
5,763.2,123.04,97,54,7552,0
6,893.71,157.33,115,63,12386,0
10,802.98,197.25,111,57,14291,0
